Sl,image_names,,F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8,F_9,label
43,40323_left.jpeg,,0.973946282,0.971893584,0.985156133,0.970311366,0.694047413,0.643296177,0.738493754,0.646555311,1.213108788,1
44,40323_right.jpeg,,0.997179516,0.996074544,0.998396868,0.996383676,0.798388162,0.746359251,0.818909017,0.748789182,0.997287845,1
45,40405_right.jpeg,,0.997162625,0.994831341,0.996901091,0.994631691,0.766347027,0.717681834,0.765828862,0.716826375,1.269219372,1
46,40673_left.jpeg,,0.993732694,0.99126095,0.994403826,0.990682716,0.698985341,0.636845389,0.71504172,0.638383255,1.094795679,1
47,40673_right.jpeg,,0.994203049,0.98998852,0.992654965,0.989518954,0.615002045,0.551731337,0.630745175,0.551239292,1.476311633,1
48,40819_left.jpeg,,0.995374181,0.993260044,0.995555208,0.992838419,0.722845991,0.664911678,0.75499239,0.665333787,0.934879033,1
49,40819_right.jpeg,,0.995974986,0.99420342,0.996074158,0.994008974,0.724720106,0.666440841,0.748739741,0.664896283,0.95368645,1
50,40893_left.jpeg,,0.97878058,0.97049402,0.983862561,0.973260682,0.58623672,0.526644092,0.598960908,0.529615081,1.972036595,1
51,40893_right.jpeg,,0.988577861,0.983035479,0.989569934,0.984543398,0.653117949,0.583466967,0.659414435,0.585173276,1.397159655,1
52,40917_left.jpeg,,0.990984443,0.987260551,0.991432911,0.985241012,0.695198357,0.639697123,0.69571561,0.632864624,1.752818726,1
53,40940_left.jpeg,,0.985523386,0.980898493,0.990462777,0.983783267,0.607519232,0.53670773,0.624199175,0.548419628,1.575031712,1
54,41174_left.jpeg,,0.996029556,0.992928025,0.996040092,0.993692839,0.756516791,0.713027188,0.75357317,0.716218937,1.675316287,1
55,41174_right.jpeg,,0.995436723,0.993707114,0.99580698,0.992253467,0.761221257,0.723331079,0.763539053,0.722541036,1.521260461,1
56,41201_left.jpeg,,0.991196085,0.985268871,0.989017417,0.986131532,0.773655972,0.72119569,0.757640728,0.719731979,1.180127816,1
57,41201_right.jpeg,,0.99138983,0.987514871,0.992624935,0.988310227,0.762148091,0.719905379,0.769829534,0.715823148,1.274440767,1
58,41339_left.jpeg,,0.993896949,0.990066905,0.993466461,0.990754752,0.638754472,0.578805781,0.660296091,0.573642675,1.32055214,1
59,41339_right.jpeg,,0.996736961,0.995370811,0.997041601,0.994675017,0.643474607,0.580624739,0.661121759,0.583286874,1.271041515,1
60,41387_left.jpeg,,0.991873404,0.989203521,0.992818059,0.988044547,0.772070786,0.720603801,0.764803895,0.721880788,1.308296354,1
61,41387_right.jpeg,,0.993153415,0.989436736,0.992587349,0.989321027,0.812953618,0.76488679,0.810287034,0.764108789,1.008664925,1
62,41430_left.jpeg,,0.993961955,0.992082123,0.995509821,0.990350868,0.764065128,0.694990021,0.755966919,0.692834724,0.944513559,1
63,41430_right.jpeg,,0.995119244,0.992168825,0.996492772,0.993757898,0.763832988,0.693605775,0.758653605,0.69753145,1.082983625,1
64,41445_left.jpeg,,0.989404221,0.983674845,0.989695681,0.986683568,0.847924342,0.776268409,0.830050504,0.801793824,0.923684151,1
65,41445_right.jpeg,,0.995085105,0.993110231,0.996904227,0.993782705,0.800709216,0.741186005,0.787726305,0.718799906,1.00665087,1
66,41584_left.jpeg,,0.977286068,0.966360981,0.982574078,0.977829806,0.544565016,0.457579966,0.552417609,0.470021145,1.503806727,1
67,41584_right.jpeg,,0.993703169,0.990941459,0.99363802,0.99001584,0.549636431,0.483135681,0.555672097,0.476360944,1.378772133,1
68,41746_left.jpeg,,0.993665891,0.991147925,0.99510049,0.991433503,0.785829762,0.743856124,0.787302926,0.743304165,1.226283785,1
69,41746_right.jpeg,,0.992583498,0.989627984,0.993226419,0.988187587,0.784782147,0.749602202,0.788087513,0.736848898,1.265565137,1
70,41761_left.jpeg,,0.995300752,0.993548345,0.997376741,0.994177062,0.79090446,0.731660157,0.796352135,0.735912624,0.95064796,1
71,41761_right.jpeg,,0.996036492,0.994191053,0.997279312,0.994545206,0.763229614,0.708656296,0.781214501,0.718353328,1.073148288,1
72,41852_right.jpeg,,0.996357592,0.994151748,0.99673923,0.995100485,0.853171877,0.807867734,0.85080798,0.817245324,1.001531968,1
73,42022_right.jpeg,,0.992731384,0.988005507,0.99302568,0.989891543,0.636455637,0.569452693,0.65345987,0.577590417,1.536836264,1
74,42316_left.jpeg,,0.995170888,0.993536272,0.996274768,0.993367869,0.671613963,0.611080772,0.69905625,0.613562749,1.086172165,1
75,42358_left.jpeg,,0.996805426,0.994607596,0.996705913,0.994756573,0.689147193,0.618113145,0.686309906,0.623118597,1.265323883,1
76,42442_right.jpeg,,0.993818828,0.988904289,0.993255379,0.988842288,0.607649673,0.542233709,0.617065163,0.545580091,1.819622677,1
77,42484_left.jpeg,,0.99484932,0.99195488,0.994382985,0.991761214,0.693928331,0.638959813,0.7256013,0.636442652,1.142627342,1
78,42484_right.jpeg,,0.987391015,0.985072366,0.9921843,0.984912817,0.610753868,0.551870764,0.63017232,0.544569534,1.501403148,1
79,42815_left.jpeg,,0.990457924,0.985551514,0.990503481,0.985829574,0.712573984,0.649809418,0.703585741,0.651869303,1.483627335,1
80,42815_right.jpeg,,0.992701234,0.988495609,0.992858317,0.989302946,0.712212759,0.64654385,0.70599529,0.652963734,1.526053846,1
81,43008_left.jpeg,,0.99467222,0.991446906,0.994642152,0.990948312,0.71379892,0.665876561,0.70920245,0.662373397,1.749254205,1
82,43050_left.jpeg,,0.995135853,0.992351178,0.995537031,0.99224468,0.735752378,0.691209596,0.73270121,0.686704818,1.588963401,1
83,43050_right.jpeg,,0.993806048,0.990673777,0.993581094,0.99024821,0.74090922,0.69984904,0.741733484,0.69738681,1.555816585,1
84,43141_left.jpeg,,0.994815053,0.990197709,0.994325232,0.991888396,0.647325208,0.579455508,0.635963801,0.580807322,1.665557161,1
85,43141_right.jpeg,,0.994378991,0.990495138,0.994094118,0.990624158,0.664147818,0.594617615,0.657393301,0.596573794,1.63043193,1
86,43199_left.jpeg,,0.993067192,0.989578497,0.993833906,0.990341202,0.574752921,0.503109475,0.584893455,0.510212486,1.659527466,1
87,43199_right.jpeg,,0.996007186,0.993883354,0.99658242,0.993681422,0.618243931,0.547561124,0.634874518,0.550981193,1.418828055,1
88,43339_left.jpeg,,0.989962535,0.98579868,0.993861102,0.990463855,0.640954483,0.584252904,0.685694331,0.587227915,1.330193379,1
89,43339_right.jpeg,,0.96561649,0.951213984,0.967335962,0.949228354,0.449849891,0.400010064,0.466277303,0.399764424,2.541024158,1
90,43379_left.jpeg,,0.991778856,0.990453328,0.993946503,0.989476375,0.64448018,0.578814822,0.660685196,0.565297063,1.402704953,1
91,43379_right.jpeg,,0.996790226,0.994242917,0.99611649,0.994102117,0.61145886,0.539566911,0.60785972,0.538027841,1.549109745,1
92,43839_right.jpeg,,0.986958967,0.98226741,0.990657916,0.98513519,0.571499206,0.500249836,0.59196467,0.500944996,1.442553092,1
93,43997_left.jpeg,,0.995676365,0.993231912,0.995790708,0.993397925,0.795170605,0.750140173,0.795219962,0.750059848,1.236788149,1
94,43997_right.jpeg,,0.998783194,0.9977895,0.99866476,0.99774192,0.807761346,0.758792916,0.808318812,0.761624163,1.01022452,1
95,43998_left.jpeg,,0.994619456,0.990554403,0.994479173,0.991280303,0.754262332,0.679942647,0.736368755,0.682657575,1.090143169,1
96,44100_left.jpeg,,0.995324039,0.992314884,0.995554145,0.992779145,0.762634127,0.720810175,0.76534006,0.722663795,1.542555596,1
97,44247_left.jpeg,,0.996106995,0.992462093,0.995538115,0.99401689,0.80004723,0.730956576,0.781719953,0.737011308,1.080060285,1
98,44247_right.jpeg,,0.991938156,0.989344915,0.993332656,0.988407126,0.701757496,0.637334227,0.703781639,0.643971795,1.461032047,1
99,44249_left.jpeg,,0.987762821,0.982740101,0.989467716,0.983246009,0.708662897,0.660388309,0.710252874,0.659529902,1.615707747,1
100,44249_right.jpeg,,0.997598989,0.996214902,0.99746368,0.996112428,0.754966811,0.708206254,0.755362176,0.705969585,1.136733636,1
101,44064_right.jpeg,,0.995864846,0.993177867,0.995318543,0.992429528,0.762405575,0.707523793,0.751715455,0.711762309,1.362565368,0
102,44066_left.jpeg,,0.991141275,0.987096337,0.992127289,0.986492448,0.752767307,0.710604056,0.754181916,0.708735759,1.661509411,0
103,44066_right.jpeg,,0.98997116,0.984247853,0.990173776,0.984994862,0.736288892,0.694453292,0.742986171,0.696852709,1.762783652,0
104,44068_left.jpeg,,0.992455597,0.988901583,0.992818395,0.988182408,0.726605701,0.679735687,0.727013965,0.6793762,1.745620952,0
105,44068_right.jpeg,,0.994910939,0.991520699,0.994874473,0.991761894,0.734703852,0.68337048,0.730505589,0.682766092,1.579153797,0
106,44070_left.jpeg,,0.995030926,0.992571366,0.995211872,0.993047866,0.789814222,0.743587604,0.79123356,0.741251899,1.219618966,0
107,44070_right.jpeg,,0.9957101,0.99343168,0.995788152,0.993481226,0.760993302,0.710567787,0.759619278,0.715403071,1.403415978,0
108,44073_left.jpeg,,0.992258153,0.98884581,0.99287955,0.988105421,0.727869158,0.674135581,0.752583735,0.675155053,1.288611743,0
109,44073_right.jpeg,,0.987850758,0.978122211,0.987783046,0.98511295,0.570104447,0.509918354,0.594015872,0.517598508,1.971068846,0
110,44076_left.jpeg,,0.996010566,0.993637479,0.996586483,0.993853341,0.656173958,0.589832667,0.681018847,0.596607076,1.307522173,0
111,44076_right.jpeg,,0.997368175,0.996044543,0.997922064,0.995920444,0.713912907,0.650393522,0.73819423,0.652397797,1.018150998,0
112,44079_left.jpeg,,0.989341977,0.983390078,0.98941358,0.982618652,0.704456557,0.645636516,0.698922131,0.642960711,1.859927912,0
113,44079_right.jpeg,,0.991041775,0.985273588,0.991161233,0.985886408,0.699233689,0.634558918,0.686404155,0.634576386,1.934953403,0
114,44081_left.jpeg,,0.996255041,0.995050006,0.99748101,0.994186043,0.677358193,0.616686065,0.699383364,0.599630935,1.092748219,0
115,44081_right.jpeg,,0.98710111,0.981362585,0.989408286,0.98337926,0.525790964,0.455094448,0.543659588,0.458015553,1.818336006,0
116,44083_left.jpeg,,0.995080513,0.99401665,0.995951582,0.991180798,0.72911023,0.67031273,0.728462139,0.660252588,1.320626794,0
117,44083_right.jpeg,,0.99667444,0.994086964,0.995532354,0.993437409,0.805933436,0.745932676,0.793126217,0.740622872,1.065792735,0
118,44084_left.jpeg,,0.990578449,0.986650394,0.991245655,0.985016183,0.544589256,0.482765973,0.564662556,0.482458679,1.895475727,0
119,44084_right.jpeg,,0.993590129,0.988651745,0.993085967,0.989565907,0.547238881,0.482984628,0.563029987,0.483400152,1.852487689,0
120,44086_left.jpeg,,0.989306813,0.982192179,0.987926872,0.982052739,0.517490329,0.451898223,0.541567425,0.451375682,1.940162702,0
121,44086_right.jpeg,,0.987308998,0.981097314,0.987384879,0.979789249,0.529687778,0.462156945,0.54430252,0.459344711,2.000804705,0
122,44088_left.jpeg,,0.995921001,0.992800468,0.995784558,0.993357557,0.886470344,0.855036191,0.893460691,0.847968342,0.809160567,0
123,44088_right.jpeg,,0.993944522,0.988857418,0.993965564,0.992396306,0.801589769,0.728346482,0.784490268,0.740998264,1.092869148,0
124,44091_left.jpeg,,0.995960489,0.992619402,0.995266773,0.993073632,0.816876805,0.766864294,0.815345893,0.776782179,1.241829188,0
125,44091_right.jpeg,,0.995252481,0.992483525,0.995159866,0.992296341,0.771527629,0.720053792,0.769457878,0.723911112,1.443379324,0
126,44092_left.jpeg,,0.99149923,0.988181514,0.994127737,0.988885833,0.655995504,0.592671583,0.668382648,0.592636844,1.490980608,0
127,44092_right.jpeg,,0.989288729,0.986195294,0.993718125,0.986401065,0.709301796,0.643347597,0.72397813,0.64489947,1.3203627,0
128,44093_left.jpeg,,0.993894124,0.991249128,0.994924341,0.991145794,0.719475172,0.669984121,0.720795385,0.673919822,1.575992341,0
129,44095_left.jpeg,,0.985844502,0.979249724,0.986081244,0.977899367,0.552587856,0.478442304,0.561346449,0.480690499,1.972338278,0
130,44095_right.jpeg,,0.981413906,0.973512287,0.985759303,0.977705806,0.563525498,0.471887443,0.561364994,0.494018273,1.95395958,0
131,44096_left.jpeg,,0.98401229,0.975258149,0.984272145,0.975294923,0.510843191,0.440583086,0.520288857,0.442146182,2.14901877,0
132,44096_right.jpeg,,0.987369995,0.981077216,0.988437536,0.981303849,0.51180145,0.449427982,0.529781144,0.450628539,2.056158174,0
133,44097_left.jpeg,,0.982479354,0.97298647,0.982624076,0.973814903,0.596007717,0.52760031,0.590119018,0.531451112,2.137070404,0
134,44097_right.jpeg,,0.985543803,0.978126159,0.986599342,0.97866656,0.602802957,0.540093868,0.605799259,0.540131867,1.996847874,0
135,44099_left.jpeg,,0.990697928,0.985310248,0.991174941,0.983995155,0.586045288,0.51185841,0.585586015,0.511308749,1.905437433,0
136,44099_right.jpeg,,0.992252377,0.987556208,0.993261549,0.987292144,0.603250834,0.527434282,0.605400002,0.531852,1.777564702,0
137,44103_left.jpeg,,0.995963267,0.993272558,0.995994102,0.993923852,0.750657654,0.701482392,0.745905939,0.701686118,1.452863525,0
138,44103_right.jpeg,,0.996563269,0.994173465,0.996747276,0.994088197,0.742823414,0.689669777,0.732542152,0.689979514,1.45903966,0
139,44107_left.jpeg,,0.983514235,0.975467828,0.982853169,0.972353199,0.538438296,0.46914546,0.545824478,0.468051819,2.167047502,0
140,44107_right.jpeg,,0.98987931,0.981889692,0.988052365,0.982054125,0.529994352,0.461729306,0.541341492,0.463322341,2.17984195,0
141,44113_left.jpeg,,0.99599291,0.993575838,0.995584505,0.993034417,0.794129924,0.749387566,0.795654724,0.750849508,1.378439277,0
142,44113_right.jpeg,,0.992236939,0.987099638,0.992501221,0.988278273,0.738595137,0.691254198,0.74102908,0.688825358,1.767482124,0
143,44114_left.jpeg,,0.992173452,0.987493341,0.992441336,0.988687555,0.755469471,0.711344752,0.757844918,0.713967877,1.642680734,0
144,44114_right.jpeg,,0.991511151,0.987604165,0.992487132,0.987595363,0.76057245,0.719225767,0.765496806,0.718133596,1.624312505,0
145,44115_left.jpeg,,0.994304739,0.990763155,0.994485874,0.990317234,0.859743637,0.82232481,0.862143405,0.818725452,0.844229836,0
146,44115_right.jpeg,,0.992596677,0.988171792,0.993044287,0.98750316,0.781192261,0.740390256,0.785211335,0.737204258,1.473017158,0
147,44118_left.jpeg,,0.992001988,0.98733894,0.99320016,0.988595409,0.709477976,0.641305596,0.706875634,0.651378613,1.596136561,0
148,44118_right.jpeg,,0.995923656,0.993266445,0.996119854,0.993750759,0.74024815,0.683149343,0.739452049,0.678872636,1.338276901,0
149,44122_left.jpeg,,0.991575405,0.98678538,0.99187899,0.986748502,0.553475431,0.489990897,0.568971079,0.493958284,1.958720187,0
150,44122_right.jpeg,,0.991545463,0.986987587,0.991628423,0.98590789,0.558338777,0.496628498,0.571789624,0.495057925,2.02931825,0
151,44123_left.jpeg,,0.988206971,0.981594131,0.988268574,0.980758371,0.528346312,0.461020643,0.536257832,0.461080302,2.12573074,0
152,44123_right.jpeg,,0.98788892,0.980819633,0.987641886,0.980748128,0.53367756,0.465064744,0.539318273,0.465016058,2.173531883,0
153,44127_left.jpeg,,0.997475362,0.996001877,0.997447674,0.996098625,0.717653838,0.655487122,0.737230067,0.660948259,1.175488883,0
154,44127_right.jpeg,,0.995945403,0.993781521,0.997302009,0.996000898,0.656433666,0.597253796,0.699356928,0.616662156,1.26191427,0
155,44133_left.jpeg,,0.997504171,0.995495497,0.996541917,0.99460538,0.884902375,0.846116174,0.885118034,0.846008414,0.552801162,0
156,44133_right.jpeg,,0.996539463,0.993889229,0.996006143,0.993230348,0.786294054,0.738026976,0.779505808,0.73428523,1.188534334,0
157,44134_left.jpeg,,0.990511563,0.984189257,0.991435534,0.985403936,0.607175447,0.538235628,0.610385767,0.544425041,1.996903214,0
158,44134_right.jpeg,,0.988422483,0.98152222,0.989768151,0.981554813,0.57970536,0.513516665,0.586869535,0.508414203,2.154547153,0
159,44141_left.jpeg,,0.982391877,0.97684011,0.984655165,0.975490583,0.571615183,0.494844043,0.594185656,0.507631388,1.796271352,0
160,44141_right.jpeg,,0.982779924,0.977935712,0.986930993,0.977513944,0.561702087,0.496116938,0.579147141,0.49241388,1.88541861,0
161,44145_right.jpeg,,0.991910547,0.986335489,0.992305663,0.98720761,0.587398453,0.515112136,0.587495947,0.513841468,1.891496174,0
162,44150_left.jpeg,,0.996666851,0.995409089,0.997580495,0.994998293,0.769639427,0.725814226,0.770385409,0.725880023,1.407019657,0
163,44150_right.jpeg,,0.99359129,0.990760049,0.994838977,0.991489587,0.758061066,0.717492914,0.762476446,0.718505729,1.486652312,0
164,44151_left.jpeg,,0.995366406,0.992643361,0.995042418,0.992234885,0.775116965,0.733698115,0.776577014,0.730655774,1.433517002,0
165,44151_right.jpeg,,0.996148843,0.993053604,0.995853547,0.993700416,0.795764237,0.751256021,0.796254835,0.751587117,1.4487879,0
166,44152_left.jpeg,,0.984267557,0.976761608,0.985962695,0.979260115,0.563958036,0.493112259,0.578529622,0.502427173,1.983793785,0
167,44152_right.jpeg,,0.984248037,0.981596239,0.986923473,0.975112297,0.564112019,0.504302611,0.582341777,0.496993398,1.965585538,0
168,44157_left.jpeg,,0.984889003,0.980593416,0.98969057,0.982390372,0.61727123,0.534298697,0.623773707,0.53796129,1.678501879,0
169,44157_right.jpeg,,0.992747569,0.991045927,0.993851865,0.988716492,0.598266274,0.518516983,0.596820693,0.520416921,1.719656498,0
170,44159_left.jpeg,,0.990093498,0.985348132,0.990779113,0.983829601,0.719219708,0.674825614,0.7206783,0.670593916,1.811820409,0
171,44159_right.jpeg,,0.992086864,0.987687681,0.992537381,0.987234068,0.71224995,0.663651931,0.707302993,0.663830529,1.884215432,0
172,44163_left.jpeg,,0.992266514,0.987168506,0.992636529,0.987146264,0.606301527,0.541244954,0.618635944,0.538751361,1.786285318,0
173,44163_right.jpeg,,0.992835196,0.987741774,0.992816021,0.98702656,0.574294528,0.507043477,0.590872414,0.512242055,1.85564032,0
174,44168_left.jpeg,,0.992909117,0.9890749,0.99293732,0.988565813,0.735404385,0.686020165,0.730633591,0.686800029,1.66975031,0
175,44168_right.jpeg,,0.992311992,0.988720175,0.993069053,0.987944575,0.738944972,0.689562893,0.73639841,0.687999342,1.665048897,0
176,44170_left.jpeg,,0.996523429,0.994659918,0.9967233,0.994215154,0.646753197,0.587103781,0.669258428,0.586156144,1.316509989,0
177,44170_right.jpeg,,0.993856493,0.990242693,0.994110497,0.989898233,0.604454689,0.543565925,0.621671488,0.543861404,1.680617624,0
178,44172_left.jpeg,,0.993444568,0.989610976,0.994474786,0.990606789,0.678776271,0.608746057,0.694332747,0.61572367,1.314555743,0
179,44172_right.jpeg,,0.991074507,0.986061239,0.99206622,0.986608924,0.633426057,0.550843077,0.638442964,0.560216802,1.436897126,0
180,44175_left.jpeg,,0.995734122,0.994242386,0.997202799,0.993950163,0.778794815,0.710357547,0.772711812,0.706328376,0.947641848,0
181,44175_right.jpeg,,0.991066316,0.988544232,0.99427473,0.988297778,0.725895371,0.65985964,0.733095473,0.659587247,1.190108361,0
182,44178_left.jpeg,,0.995205666,0.991703196,0.994779995,0.991639524,0.746470924,0.699667347,0.746329621,0.698783404,1.599596308,0
183,44178_right.jpeg,,0.995248333,0.991418798,0.995003119,0.99188433,0.753343362,0.705923796,0.752150787,0.705685124,1.54079342,0
184,44179_left.jpeg,,0.995950703,0.991810182,0.994624899,0.991954138,0.769033031,0.724858408,0.76820455,0.726736314,1.581236043,0
185,44179_right.jpeg,,0.994153401,0.990006791,0.993595066,0.98975773,0.778045226,0.732939277,0.776906907,0.733542174,1.527781628,0
186,44185_left.jpeg,,0.994700236,0.993110405,0.996217145,0.992396567,0.737183554,0.673573263,0.731319199,0.6761366,1.281655776,0
187,44185_right.jpeg,,0.996054175,0.993564998,0.996220818,0.993651046,0.742658713,0.67836974,0.734267597,0.679724683,1.307148006,0
188,44186_left.jpeg,,0.993775535,0.988814326,0.993409343,0.990481149,0.699395849,0.625146357,0.681944478,0.625856686,1.539218569,0
189,44186_right.jpeg,,0.993483376,0.989937473,0.994350757,0.990375588,0.69309424,0.622021083,0.687990143,0.627468226,1.588359124,0
190,44187_left.jpeg,,0.98960474,0.985172081,0.991223205,0.984028192,0.678043311,0.618353556,0.682536474,0.612729725,1.691685192,0
191,44187_right.jpeg,,0.987820525,0.983294803,0.990314229,0.981515409,0.62846399,0.564873107,0.630045066,0.559072938,1.806584739,0
192,44188_left.jpeg,,0.988826209,0.984209514,0.99153891,0.984569615,0.580329969,0.507623982,0.583310658,0.507699771,1.940234285,0
193,44188_right.jpeg,,0.983607509,0.977002696,0.985677687,0.977487901,0.601441101,0.528347457,0.604583632,0.527554385,1.89870359,0
194,44192_left.jpeg,,0.995620634,0.991967917,0.994683036,0.991955336,0.740829274,0.696473173,0.739453074,0.696299337,1.704776026,0
195,44192_right.jpeg,,0.990779563,0.987700236,0.991134586,0.985410727,0.748328334,0.704195088,0.749662502,0.703828349,1.676885949,0
196,44195_left.jpeg,,0.990516307,0.987040663,0.992286019,0.987275586,0.780019898,0.731431126,0.774175632,0.733530395,1.482959585,0
197,44195_right.jpeg,,0.992660594,0.989476474,0.992678489,0.987959097,0.727814467,0.68367935,0.725444894,0.684082183,1.774620449,0
198,44204_left.jpeg,,0.994517355,0.989794509,0.993848023,0.989520557,0.790716641,0.739858467,0.785133382,0.743817591,1.404245424,0
199,44204_right.jpeg,,0.995692559,0.991598175,0.99450831,0.990917022,0.812502381,0.766003892,0.809626607,0.771264041,1.381240082,0
200,44205_left.jpeg,,0.992209427,0.98907625,0.994302867,0.988639792,0.726003404,0.658942258,0.729436623,0.6564085,1.204442794,0
201,44205_right.jpeg,,0.99332935,0.990955291,0.995529749,0.991054451,0.743325742,0.680281358,0.757001007,0.683549015,1.108535536,0
